name,Character Importance,Eye Color,Hair Color,Skin,Build,Demeanor,Note,Birth,Death,Age 1281,Age 1298,Predominate Location,Motifs,Image
Gilbert Ogle,Major,no left eye/blue right,BLONDE,PALE,TALL/THIN,Zealous Crusader,Brought Holy Sepulchre to Sheepwash,1144,1180,,,Ogle/Whalton,"Odin, Mimirs Well, Mythic",gilbert-ogle.png
John Ogle,Major,blue,blonde,WAR DARKENED/SCARRED,MEDIUM/THIN,POLITICAL/SERIOUS,"Lord of Ogle; northern knight and former rebel restored to royal favor. Thoughtful, restrained, and deeply shaped by past defeat, he balances tactical prudence with moral gravity. A father who understands that war is not glory but inheritance.",1256,,25,42,Ogle/Whalton,,john-ogle.png
Robert Ogle,Major,Azure Blue,blonde,PALE,MEDIUM/THIN,DEVOUT/SENTIMENTAL,"Heir of Ogle; later squire and emerging political actor. Devout, reflective, and deeply attuned to place and memory. His moral struggle forms the spine of the narrative: how to remain faithful in a world that sanctifies violence.",1281,,newborn,17,Ogle/Whalton,"Marion devoted, foil to Rob Bertram",robert-ogle.png
Annabella Selby Ogle,Major,sky blue,/LIGHT BROWN,PALE,MEDIUM/THIN,MOTHERLY,"Lady of Ogle Manor. Calm, practical, and emotionally perceptive, she anchors the household in absence and grief. Sees people clearly and early, especially Maggie, whom she quietly claims as family long before vows are spoken.",1255,,26,43,Ogle/Whalton,Fate,annabella-selby-ogle.png
Isabella,Major,blue,thin blonde-hair,pale,thin,UNSURE/HAPPY,"Young member of the household. Innocent, observant, and emotionally responsive; a living measure of what must be protected from the consequences of war.",1293,,null,5,Ogle/Whalton,,isabella.png
John Ogle Jr,Major,blue,thin blonde-hair,pale,thin,infantile,"Child of the house. Symbol of continuity, hope, and the future that the adults fear to lose.",1297,,null,1,Ogle/Whalton,Innocence,john-ogle-jr.png
Roger Bertram,Major,GREEN,fiery red,ruddy face,THIN/MEDIUM BUILD,LOYAL/KIND WARRIOR,"Lord of Bothal (until his death). A steady, capable knight; quieter than John Ogle but equally reliable. His death defending the border forces his son abruptly into lordship.",1265,1300,16,33,Bothal,,roger-bertram.png
Alice Gubium Bertram,Major,Piercing/Fierce Hazel Eyes,AUBURN,Fair Skinned,SHORT THIN,fierce,"motherly, Wife of Roger; sister of Sir Hugh Gubium. Intelligent, politically alert, and shaped by grief. Fiercely protective of her family’s future and deeply unsettled by loss and disorder.",1265,,16,33,Bothal,Fate,alice-gubium-bertram.png
Robert Bertram,Major,dark Green,fiery red,ruddy face,THIN/MEDIUM BUILD,"troubled, guilty","Heir, then Lord of Bothal. Charismatic, impulsive, and emotionally generous. His arc explores manhood shaped by love rather than ideology, and the cost of choosing the heart over strategy.",1281,1314,newborn,17,Bothal,,robert-bertram.png
Gillian/Gyl,Major,dark eyed,Raven hair,Tanned,BUXOM/MEDIUM,Practical. loving,"on going affair with Robert Bertram, Former tavern worker, later Lady of Bothal. Intelligent, resilient, and emotionally honest. Her arc explores shame, legitimacy, and chosen dignity.",1278,,3,20,Bothal,dark beauty,bertrams-barmaid-gillian-gyl.png
Alexander,Major,Hazel,"Forest brown, changes with season",Freckled,MEDIUM/THIN,free-spirited,Huntsman,1270,,11,"Died at Stirling Bridge, Maggie's Brother",Shilvington,,alexander.png
Nigel Morrell,Major,blue,long grey hair and beard (grey),Heavily aged,tall and stiff,Shrewed and cunning yet humble,"war scarred arms, known for saving Bamburgh castle, father-in-law of Hugh ,Veteran soldier and elder. Hardened by loss, pragmatic to the bone. Values survival, lineage, and preparation over sentiment.",1230,,51,68,Shilvington,"Mischievous elder, coming of age initiator",nigel-morrell.png
Joan Morell Gubion,Major,BLUE,raven haired,FAIR SKINNED,TALL,SEVERE,"wife of Hugh, mother of Maggie",1250,,31,deceased,Shilvington,,joan-morell-gubium.png
Hugh Gubium the younger,Major,Hazel,"Forest Brown, changes with season",war worn face,TALL,"hasty, brave","great swordsman and horseman but hasty, Lord of Shilvington. A seasoned border knight, pragmatic and honorable. His death at Falkirk becomes a moral hinge for multiple characters and reshapes inheritance, marriage, and duty.",1265,,16,33,Shilvington,,hugh-gubium-the-younger.png
Maggie Gubium,Major,Hazel,"long, beautiful, fiery",fair skinned and freckled,short,"devout, loving","Daughter and heiress of Sir Hugh. Quietly luminous, devout, and emotionally resilient. A Marian figure whose strength lies in endurance, care, and moral clarity rather than force.",1281,,newborn,17,Shilvington,"Marian, love-lorn war bride, foil to Gillian",maggie-gubium.png
Maggie's cat,Major,blue eyed,white hair,pale,thin,regal strut,,null,,null,adult,Shilvington,,maggies-cat.png
Father Swineburn,Major,blue eyed,"grey, cropped, balding, beard",aged but pale,short and fat,benevolent,"walks with a cane, Parish priest of Whalton. Gentle, principled, and courageous when conscience demands. A steady pastoral presence across baptisms, confessions, and forbidden marriages.",1230,,51,68,Whalton,"Shepherd, foil to Lady Felton",father-swineburn.png
Lady Felton,Major,almond,black streaked greyer,slightly aged,"tall, thin, straight-backed","motherly, wise","vibrance in step that makes you think she could live forever, Midwife, noblewoman, and liminal figure. Moves between Church and older traditions with calm authority. Speaks prophecy sparingly; acts decisively. Represents memory, fate, and continuity older than institutions.",1258,,23,40,Whalton,"Prophetess, healer, fertility, pagan",lady-felton.png
Beatrix,Major,DARK EYED,dark haired,PALE,SHORT/THIN,INNERLY STRONG,"same as Robert Ogle and Bertram, Apprentice to Lady Felton. Quiet, observant, and serious beyond her years. Protector of children and inheritor of older knowledge.",1281,,0,17,Whalton,"Orphan, apprentice, foil to Gilbert Middleton",beatrix.png
Eva,Major,Dark eyed,black hair,TANNED,BUXOM/MEDIUM,,,1278,,3,20,Ogle/Whalton,,eva.png
Gilbert Middleton,Major,GREEN,BROWN,PALE,medium/thin,TOXIC/JEALOUS,"Page, then squire. Earnest, ambitious, and increasingly radicalized by war. Seeks certainty and validation through authority and violence, standing in stark contrast to Robert’s moral hesitation.",1279,,2,19,Midford,"Foil to Beatrix, indoctrinated in a zealous manner",gilbert-middleton.png
Walter Selby,Major,BLUE,BLONDE,PALE,Tall,IMPRESSIONABLE/CONTEXT,Youth of martial inclination. More restrained and conventional than Gilbert; often present at moments of choice and refusal.,1280,1346,,18,Whalton,,walter-selby.png
William Felton,Major,dark brown,"Sable hair, Dark ash colored hair",Pale Skin,TALL,,"slightly drunk, zealous, Knight and guardian to Gilbert Middleton. Cold, precise, and ideologically ruthless. Sanctifies violence and embodies the terrifying logic of “holy war.”",1275,May 1328,,,Whalton,"Orthoxdoxy, zealotry",william-felton.png
Sir Denum,Major,BLUE,BROWN,PALE,SHORT,"MENTOR, LAW-FOCUSED","Knight and guardian to Gilbert Middleton. Cold, precise, and ideologically ruthless. Sanctifies violence and embodies the terrifying logic of “holy war.”",1258,1314,23,40,Whalton,,sir-denum.png
Thomas Grey,Major,dark brown,reyish-black hair,pale,"tall, well built, and strong","Serious, sincere, pious","""His career, blemished by his suicidal charge at the Battle of Bannockburn, a contributing factor to the devastating English defeat, is perhaps best known for his role in the tale of Sir William Marmion, the chivalric knight of Norham Castle."", Scarred survivor of Scottish war. Motivated by vengeance and survival; serves as grim warning and example.",1280,before March 1344,1,18,Whalton,,thomas-grey.png
Elias de Martel,Minor,brown,black,pale but ashy-blacksmith,"Stocky, largest arms he'd ever seen",,"a blacksmith and goldsmith, Goldsmith of Morpeth. Earthy, skilled craftsman; forges symbols that bind fate and marriage.",1277,March 1344,,21,Morpeth,,elias-de-martel.png
Aymer de Valence,Minor,Dark eyed,Dark haired,TAN,"TALL, THIN",french aristocrats,"snobbish, elitist, Earl of Pembroke. Politically resented outsider; symbol of crown favoritism and northern grievance.",1270,23 June 1324,,28,York Parliament/Falkirk,,aymer-de-valence.png
Humphrey de bohun VI,Minor,Hazel Eyes,Blonde Hair,Pale Skin,SHORT,,"Lord Constable, third earl of Herford and Essex, Earl of Hereford. Contentious and proud; challenges royal authority over funding and rights.",1276,16 March 1322,,22,York Parliament/Falkirk,,humphrey-de-bohun-vi.png
Lord Marshall Roger Bigod V,Minor,BROWN EYES,BROWN,PALE,SHORT,"weak in stature, Haughty","Earl of Norfolk, Legal-minded and wary of unchecked royal power.",1245,6 December 1306,,53,York Parliament/Falkirk,,lord-marshall-roger-bigod-v.png
John de Warrene,Minor,BLUE EYES,Grey haired,"aged, long scar across cheek",SHORT,Level-headed,Earl of Surray,June 1231,September 1304,,67,York Parliament/Falkirk,,john-de-warrene.png
Richard Fitzallen,Minor,GREY-BLUE,"BLACK, SLIGHTLY WAVY",PALE,THIN,"loyal, battle-heartened",Earl of Arundel,3 February 1267,9 March 1302,,31,York Parliament/Falkirk,,richard-fitzallen.png
Baron Henry Percy of Northumberland,Minor,GREY-BLUE,LIGHT-BLONDE TO SHOULDERS,PALE,THIN,UNSURE/UNHAPPY,Baron,25 March 1273,October 1314,,25,York Parliament/Falkirk,,percy.png
Henry de Lacy,Minor,brown,black,,"tall, broad, muscular",,"well kept mustache, keen intelect, natural talent in marshall sports and art of war, charismatic, Earl of Lincoln, Stabilizing force within royal politics; respected and measured.",1251,February 1311,,37,York Parliament/Falkirk,,henry-de-lacy.png
John De Britagnia,Minor,BROWN,DARK BROWN,PALE,"MEDIUM HEIGHT, WELL BUILT, FIT BUT NOT BULKY","OVAL FACE, PLANTGENET NOSE","not gifted in marshall sport and art of war, loved by king, filthy rich",1266,17 January 1344,,32,York Parliament/Falkirk,,john-de-britagnia.png
Thomas Earl of Lancaster,Major,icy light blue,"wavy blonde parted in middle, beginings of a good beard",PALE SKIN,tall and thin,Noble,"II earl of lancaster, one of most powerful men in kingdom, filthy rich, attractive, Earl; powerful magnate and political patron. Calculating, intelligent, and quietly oppositional. Recognizes Robert’s value early and draws him into factional power.",1278,22 March 1322,,20,York Parliament/Falkirk,,thomas-earl-of-lancaster.png
Henry of Lancaster,Major,blue,"plantagenet blonde, close cropped",WAR_TANNED/MOLES,tall and sickly frame,Awkward,"Brother to Thomas. Crude, forceful, and entitled. Represents the danger of power without restraint.",1281,22 Septmer 1345,,17,York Parliament/Falkirk,,henry-of-lancaster.png
Guy Beauchamp,Minor,BROWN,Dark Haired,TAN,Thin and Muscular,Daring,"inteligent, skilled swordsman, Earl of Warwick. Principled and blunt; defender of unity and restraint in war.",1272,12 August 1315,,26,York Parliament/Falkirk,,guy-beauchamp.png
Patrick Dunbar,Minor,Dark Green,Red Hair,PALE SKIN,"Short, stocky, powerfully built; well-muscled frame",Reserved,"Duplicitus, earl of march",1242,1308,,56,York Parliament/Falkirk,,patrick-dunbar.png
Gilbert de Umfraville,Minor,Green,"long curled red locks, beard",PALE SKIN,"tall, broad shouldered",,earl of angus,1240,1307,,58,York Parliament/Falkirk,,gilbert-de-umfraville.png
Robert de Vere,Minor,GREY,"MEDIUM BROWN, STRAIGHT, JAW-LEVEL",DARK,,"LONG FACE, STRAIGHT NOSE, CLEAN FEATURES","earl of oxford, owned little land, less power, betroathed to Mary Mortimer",1257,1331,,41,York Parliament/Falkirk,,robert-de-vere.png
